Refdate,Link_Apto,Endereco,Bairro,Valor,Andares,Tamanho (m2),Valor (m2),Quartos,Suites,Garagem,Banheiros,Varanda,Mobiliado,Portaria,Metro
17/04/2023,https://loft.com.br/imovel/apartamento-rua-augustin-luberti-sapopemba-sao-paulo-2-quartos-64m2/10jp5jd,Rua Augustin Luberti - Sapopemba - São Paulo - SP,Sapopemba,230000,3º andar,64,3593,2,2,1,1,0,Não,24h,461
17/04/2023,https://loft.com.br/imovel/apartamento-avenida-cupece-cidade-ademar-sao-paulo-3-quartos-70m2/10ljqf6,Condomínio Edificio Giardino - Avenida Cupecê - Cidade Ademar - São Paulo - SP,Cidade Ademar,500000,4º andar em diante,70,7142,3,1,1,2,1,Não,24h,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-avenida-pompeia-sumare-sao-paulo-4-quartos-160m2/10mwr8g,Avenida Pompéia - Sumaré - São Paulo - SP,Sumaré,1591000,Sem info,160,9943,4,2,1,3,0,Não,Sem descrição,261
17/04/2023,https://loft.com.br/imovel/apartamento-rua-jose-maria-lisboa-jardim-paulista-sao-paulo-2-quartos-94m2/10p541v,Condomínio Edificio Claudia Regina - Rua José Maria Lisboa - Jardim Paulista - São Paulo - SP,Jardim Paulista,1210000,Sem info,94,12872,2,1,1,2,0,Não,Sem descrição,765
17/04/2023,https://loft.com.br/imovel/apartamento-rua-pensilvania-brooklin-sao-paulo-3-quartos-115m2/10pewip,Condomínio Edificio Hyde Park - Rua Pensilvânia - Brooklin - São Paulo - SP,Brooklin,980000,4º andar em diante,115,8521,3,1,1,4,0,Não,Sem descrição,465
17/04/2023,https://loft.com.br/imovel/apartamento-avenida-do-rio-bonito-socorro-sao-paulo-3-quartos-54m2/10q36cc,Avenida do Rio Bonito - Socorro - São Paulo - SP,Socorro,450000,4º andar em diante,54,8333,3,1,1,2,0,Não,24h,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-rua-jose-maria-lisboa-jardim-paulista-sao-paulo-3-quartos-105m2/10qojej,Condomínio Edificio Guaraci - Rua José Maria Lisboa - Jardim Paulista - São Paulo - SP,Jardim Paulista,1150000,4º andar em diante,105,10952,3,0,1,2,0,Não,Sem descrição,797
17/04/2023,https://loft.com.br/imovel/apartamento-rua-estado-do-amazonas-sao-mateus-sao-paulo-2-quartos-45m2/10qvbyn,Condomínio Residencial Clube Allegro Aricanduva - Rua Estado do Amazonas - São Mateus - São Paulo - SP,São Mateus,310000,4º andar em diante,45,6888,2,0,1,1,1,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-rua-antonio-aggio-vila-andrade-sao-paulo-4-quartos-220m2/10r3nuv,Condomínio Edificio Queen Elizabeth I E Ii - Rua Antônio Aggio - Vila Andrade - São Paulo - SP,Vila Andrade,791825,4º andar em diante,220,3599,4,2,3,5,2,Não,Parcial,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-rua-vereador-pedro-brasil-bandecchi-cachoeirinha-sao-paulo-2-quartos-62m2/10r9jnx,Condomínio Residencial Horto - seccao Ii - Rua Vereador Pedro Brasil Bandecchi - Cachoeirinha - São Paulo - SP,Cachoeirinha,280000,4º andar em diante,62,4516,2,0,1,1,0,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-rua-nunes-balboa-carrao-sao-paulo-2-quartos-45m2/10sju48,Condomínio Residencial Primavera - Rua Nunes Balboa - Carrão - São Paulo - SP,Carrão,278883,4º andar em diante,45,6197,2,0,0,1,0,Não,Sem descrição,100000000
