Bairro,Valor médio m²
Jd. Anália Franco,"R$ 10.510,00"
Tatuapé,"R$ 8.830,00"
Moóca,"R$ 8.120,00"
Parque da Moóca,"R$ 7.610,00"
Vila Formosa,"R$ 6.780,00"
Vila Carrão,"R$ 6.230,00"
Vila Matilde,"R$ 6.140,00"
Jd. Avelino,"R$ 6.530,00"
Perdizes,"R$ 9.360,00"
Barra Funda,"R$ 9.030,00"
Pinheiros,"R$ 12.400,00"
Vila Madalena,"R$ 12.060,00"
Butantã,"R$ 6.490,00"
Bela Vista,"R$ 9.900,00"
Pirituba,"R$ 4.950,00"
Higienópolis,"R$ 9.980,00"
Lapa,"R$ 8.540,00"
Alto da Lapa,"R$ 8.890,00"
Pompéia,"R$ 9.690,00"
Vila Leopoldina,"R$ 9.120,00"
Vila Romana,"R$ 9.350,00"
Perdizes,"R$ 10.180,00"
Barra Funda,"R$ 9.370,00"
Pinheiros,"R$ 13.880,00"
Vila Madalena,"R$ 13.050,00"
Butantã,"R$ 6.950,00"
Bela Vista,"R$ 9.910,00"
Pirituba,"R$ 7.450,00"
Higienópolis,"R$ 10.260,00"
Lapa,"R$ 9.590,00"
Alto da Lapa,"R$ 9.990,00"
Pompéia,"R$ 10.080,00"
Vila Leopoldina,"R$ 9.810,00"
Vila Romana,"R$ 10.420,00"
Perdizes,"R$ 10.900,00"
Barra Funda,"R$ 9.670,00"
Pinheiros,"R$ 13.790,00"
Vila Madalena,"R$ 12.260,00"
Butantã,"R$ 6.930,00"
Bela Vista,"R$ 9.100,00"
Pirituba,"R$ 7.680,00"
Higienópolis,"R$ 10.790,00"
Lapa,"R$ 10.210,00"
Alto da Lapa,"R$ 10.550,00"
Pompéia,"R$ 11.380,00"
Vila Leopoldina,"R$ 10.430,00"
Vila Romana,"R$ 11.490,00"
Perdizes,"R$ 12.180,00"
Barra Funda,"R$ 11.880,00"
Pinheiros,"R$ 13.520,00"
Vila Madalena,"R$ 11.970,00"
Butantã,"R$ 7.240,00"
Higienópolis,"R$ 13.010,00"
Lapa,"R$ 10.150,00"
Alto da Lapa,"R$ 11.770,00"
Pompéia,"R$ 11.470,00"
Vila Leopoldina,"R$ 10.770,00"
Vila Romana,"R$ 12.620,00"
Perdizes,"R$ 9.020,00"
Barra Funda,"R$ 6.700,00"
Pinheiros,"R$ 11.680,00"
Vila Madalena,"R$ 13.730,00"
Butantã,"R$ 7.650,00"
Bela Vista,"R$ 7.420,00"
Pirituba,"R$ 5.330,00"
Higienópolis,"R$ 9.130,00"
Lapa,"R$ 6.620,00"
Alto da Lapa,"R$ 8.050,00"
Pompéia,"R$ 9.920,00"
Vila Leopoldina,"R$ 9.200,00"
Vila Romana,"R$ 7.950,00"
