Link_Apto;Endereco;Bairro;Valor_RS;Andares;Tamanho_m2;Valor_RS/m2;Quartos;Suites;Garagem;Banheiros;Varanda;Mobiliado;Portaria;Metro;id;Refdate;Lat;Long
https://loft.com.br/imovel/apartamento-alameda-itu-jardim-paulista-sao-paulo-3-quartos-159m2/fi14iv;Condomínio Edificio Mansao Ouro Branco - Alameda Itu - Jardim Paulista - São Paulo - SP;Jardim Paulista;2000000;3º andar;159;12578;3;1;2;3;0;Não;Sem descrição;429;12449;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-alameda-jau-jardim-paulista-sao-paulo-1-quarto-45m2/miknui;Condomínio Edificio Paulista Park - Alameda Jaú - Jardim Paulista - São Paulo - SP;Jardim Paulista;600000;4º andar em diante;45;13333;1;0;1;1;0;Não;Sem descrição;438;12450;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-alameda-jau-jardim-paulista-sao-paulo-2-quartos-90m2/1fodiuy;Condomínio Edificio Jau - Alameda Jaú - Jardim Paulista - São Paulo - SP;Jardim Paulista;882000;3º andar;90;9800;2;0;1;1;0;Não;24h;478;12451;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-alameda-jau-jardim-paulista-sao-paulo-2-quartos-96m2/115j08d;Condomínio Edificio Jau - Alameda Jaú - Jardim Paulista - São Paulo - SP;Jardim Paulista;1150000;4º andar em diante;96;11979;2;1;2;1;0;Não;Sem descrição;478;12452;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-alameda-jauaperi-moema-passaros-sao-paulo-3-quartos-80m2/1002zra;Alameda Jauaperi - Moema Pássaros - São Paulo - SP;Moema Pássaros;860000;Sem info;80;10750;3;0;1;3;0;Não;Sem descrição;499;12453;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-alameda-joaquim-eugenio-de-lima-jardim-paulista-sao-paulo-1-quarto-42m2/19zaunw;Condomínio Edificio St. Thomas Residence Service - Alameda Joaquim Eugênio de Lima - Jardim Paulista - São Paulo - SP;Jardim Paulista;590000;4º andar em diante;42;14047;1;0;2;1;0;Não;Sem descrição;992;12454;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-alameda-joaquim-eugenio-de-lima-jardim-paulista-sao-paulo-1-quarto-43m2/3fy2ns;Condomínio Edificio St. Thomas Residence Service - Alameda Joaquim Eugênio de Lima - Jardim Paulista - São Paulo - SP;Jardim Paulista;519000;4º andar em diante;43;12069;1;0;2;1;0;Não;Sem descrição;992;12455;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-alameda-lorena-jardim-america-sao-paulo-2-quartos-93m2/4camgo;Condomínio Edificio Itaimbe - Alameda Lorena - Jardim América - São Paulo - SP;Jardim América;1250000;3º andar;93;13440;2;0;1;1;0;Não;Sem descrição;790;12456;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-alameda-lorena-jardim-paulista-sao-paulo-1-quarto-28m2/ioeb3;Condomínio Condomnio Edifcio 21st Century Flat - Alameda Lorena - Jardim Paulista - São Paulo - SP;Jardim Paulista;380000;4º andar em diante;28;13571;1;1;1;1;0;Não;Sem descrição;969;12457;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-alameda-lorena-jardim-paulista-sao-paulo-2-quartos-150m2/z33rlr;Condomínio Edificio Andromeda - Alameda Lorena - Jardim Paulista - São Paulo - SP;Jardim Paulista;1810000;4º andar em diante;150;12066;2;1;1;3;0;Não;Sem descrição;100000000;12458;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-alameda-ribeirao-preto-bela-vista-sao-paulo-2-quartos-80m2/y3biv;Condomínio Edificio Manaus - Alameda Ribeirão Preto - Bela Vista - São Paulo - SP;Bela Vista;890000;3º andar;80;11125;2;0;0;1;0;Não;Sem descrição;338;12459;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-alameda-santos-paraiso-sao-paulo-1-quarto-30m2/19x7pbi;Condomínio Capital Plaza  -  The Flat - Alameda Santos - Paraíso - São Paulo - SP;Paraíso;470000;4º andar em diante;30;15666;1;1;1;1;0;Não;Sem descrição;328;12460;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-alameda-santos-paraiso-sao-paulo-1-quarto-30m2/1ln8pii;Condomínio Capital Plaza  -  The Flat - Alameda Santos - Paraíso - São Paulo - SP;Paraíso;470000;4º andar em diante;30;15666;1;1;1;1;0;Não;Sem descrição;328;12461;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-alda-centro-sao-paulo-2-quartos-67m2/1r8vmeh;Avenida Alda - Centro - São Paulo - SP;Centro;636000;Sem info;67;9492;2;1;2;2;0;Não;Sem descrição;100000000;12462;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-andre-mendes-cursino-sao-paulo-2-quartos-120m2/1hpjkmw;Condomínio Benevento - Rua André Mendes - Cursino - São Paulo - SP;Cursino;990000;3º andar;120;8250;2;2;1;3;0;Não;Sem descrição;100000000;12463;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-angoera-carrao-sao-paulo-3-quartos-120m2/1ey6vw;Condomínio Edificio Vida E Fantasia - Rua Angoera - Carrão - São Paulo - SP;Carrão;810350;4º andar em diante;120;6752;3;1;2;2;1;Não;24h;100000000;12464;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-antonio-ambuba-campo-limpo-sao-paulo-2-quartos-50m2/17jz60x;Condomínio Horto do Ypê Life - Rua Antônio Ambuba - Campo Limpo - São Paulo - SP;Campo Limpo;400175;4º andar em diante;50;8003;2;0;1;1;0;Não;24h;100000000;12465;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-antonio-julio-dos-santos-morumbi-sao-paulo-1-quarto-45m2/234s2l;Condomínio Residencial Mob - Rua Antônio Júlio dos Santos - Morumbi - São Paulo - SP;Morumbi;341000;4º andar em diante;45;7577;1;0;1;1;0;Não;Sem descrição;100000000;12466;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-antonio-julio-dos-santos-morumbi-sao-paulo-2-quartos-61m2/1vixj1o;Condomínio Residencial Mob - Rua Antônio Júlio dos Santos - Morumbi - São Paulo - SP;Morumbi;440000;4º andar em diante;61;7213;2;1;2;2;1;Não;Sem descrição;100000000;12467;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-aguas-de-sao-pedro-jardim-sao-paulo-sao-paulo-3-quartos-80m2/r14aee;Condomínio Edificio Ilha De Pascoa - Avenida Águas de São Pedro - Jardim São Paulo - São Paulo - SP;Jardim São Paulo;660000;3º andar;80;8250;3;1;2;3;0;Não;Sem descrição;330;12468;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-alberto-ramos-sao-lucas-sao-paulo-2-quartos-97m2/pakcps;Condomínio Clima Do Bosque - Avenida Alberto Ramos - São Lucas - São Paulo - SP;São Lucas;909000;4º andar em diante;97;9371;2;1;2;2;0;Não;Sem descrição;196;12469;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-alcantara-machado-bras-sao-paulo-2-quartos-68m2/1bm1h1f;Condomínio Edificio Viaduto - Avenida Alcântara Machado - Brás - São Paulo - SP;Brás;233900;3º andar;68;3439;2;0;0;1;0;Não;Sem descrição;612;12470;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-alexios-jafet-jaragua-sao-paulo-2-quartos-52m2/41686e;Condomínio Varandas Jaragua - Avenida Alexios Jafet - Jaraguá - São Paulo - SP;Jaraguá;274500;4º andar em diante;52;5278;2;0;1;1;1;Não;Sem descrição;100000000;12471;2023-04-17T00:00;;
