Refdate,Link_Apto,Endereco,Bairro,Valor,Informacoes
02/05/2023,https://loft.com.br/imovel/apartamento-rua-silva-teles-pari-sao-paulo-3-quartos-69m2/1dasle7,"['Apartamento à venda em Pari com 69 m²', ' 3 quartos', ' 1 suíte', ' 2 vagasCondomínio Living Elegance', ' Rua Silva Teles', ' Pari', ' São Paulo-SP']",Pari,R$ 827.999,"['Andar alto4º andar em diante', '69 m²R$ 11.999 /m²', '3 quartos1 suíte', '2 vagas', '2 Banheiros', 'Varanda', 'Não - Mobiliado']"
02/05/2023,https://loft.com.br/imovel/apartamento-rua-do-estilo-barroco-santo-amaro-sao-paulo-4-quartos-284m2/oofj5l,"['Apartamento à venda em Santo Amaro com 284 m²', ' 4 quartos', ' 2 suítes', ' 4 vagasCondomínio Edificio Montmartre', ' Rua do Estilo Barroco', ' Santo Amaro', ' São Paulo-SP']",SantoAmaro,R$ 2.200.000,"['284 m²R$ 7.746 /m²', '4 quartos2 suítes', '4 vagas', '5 Banheiros', 'Metrô próximoestação a 191m', 'Não - Mobiliado']"
02/05/2023,https://loft.com.br/imovel/apartamento-rua-dante-alderigo-cidade-tiradentes-sao-paulo-2-quartos-48m2/1xp9ads,"['Apartamento à venda em Cidade Tiradentes com 48 m²', ' 2 quartos', ' 1 vagaCondomínio Santa Etelvina Vii', ' Rua Dante Alderigo', ' Cidade Tiradentes', ' São Paulo-SP']",CidadeTiradentes,R$ 149.000,"['Andar alto4º andar em diante', '48 m²R$ 3.104 /m²', '2 quartossem suíte', '1 vaga', '1 Banheiro', 'Não - Mobiliado']"
02/05/2023,https://loft.com.br/imovel/apartamento-rua-davi-banderali-artur-alvim-sao-paulo-2-quartos-48m2/1hktuao,"['Apartamento à venda em Artur Alvim com 48 m²', ' 2 quartos', ' 1 suíte', ' 1 vagaCondomínio Benevento Iv', ' Rua Davi Banderali', ' Artur Alvim', ' São Paulo-SP']",ArturAlvim,R$ 243.800,"['Andar baixoAté 3º andar', '48 m²R$ 5.079 /m²', '2 quartos1 suíte', '1 vaga', '1 Banheiro', 'Sol da manhãna sala', 'Não - Mobiliado']"
02/05/2023,https://loft.com.br/imovel/apartamento-praca-julio-prestes-campos-elisios-sao-paulo-2-quartos-86m2/lxlwa,"['Apartamento à venda em Campos Elísios com 86 m²', ' 2 quartosCondomínio Edificio Miri', ' Praça Júlio Prestes', ' Campos Elísios', ' São Paulo-SP']",CamposElísios,R$ 360.000,"['Andar alto4º andar em diante', '86 m²R$ 4.186 /m²', '2 quartossem suíte', '2 Banheiros', 'Portaria24h', 'Metrô próximoestação a 716m', 'Não - Vagas', 'Não - Mobiliado']"
02/05/2023,https://loft.com.br/imovel/apartamento-rua-bento-freitas-republica-sao-paulo-1-quarto-36m2/1wcyj4j,"['Apartamento à venda em República com 36 m²', ' 1 quartoCondomínio Vibe Republica', ' Rua Bento Freitas', ' República', ' São Paulo-SP']",República,R$ 450.000,"['36 m²R$ 12.500 /m²', '1 quartosem suíte', '1 Banheiro', 'Metrô próximoestação a 223m', 'Não - Vagas', 'Não - Mobiliado']"
02/05/2023,https://loft.com.br/imovel/apartamento-rua-doutor-abelardo-vergueiro-cesar-campo-belo-sao-paulo-2-quartos-93m2/ncpbtc,"['Apartamento à venda em Campo Belo com 93 m²', ' 2 quartos', ' 1 suíte', ' 2 vagasCondomínio Edificio Ilha Kauai', ' Rua Doutor Abelardo Vergueiro César', ' Campo Belo', ' São Paulo-SP']",CampoBelo,R$ 680.000,"['Andar alto4º andar em diante', '93 m²R$ 7.311 /m²', '2 quartos1 suíte', '2 vagas', '4 Banheiros', 'Sol o dia todona sala', 'Varanda', 'Portaria24h', 'Não - Mobiliado']"
02/05/2023,https://loft.com.br/imovel/apartamento-rua-oscar-freire-pinheiros-sao-paulo-1-quarto-18m2/bhazdt,"['Apartamento à venda em Pinheiros com 18 m²', ' 1 quarto', ' 1 vagaCondomínio VN Oscar Freire', ' Rua Oscar Freire', ' Pinheiros', ' São Paulo-SP']",Pinheiros,R$ 530.000,"['Andar alto4º andar em diante', '18 m²R$ 29.444 /m²', '1 quartosem suíte', '1 vaga', '1 Banheiro', 'Metrô próximoestação a 74m', 'Não - Mobiliado']"
02/05/2023,https://loft.com.br/imovel/casa-rua-herculano-duarte-vila-formosa-sao-paulo-3-quartos-130m2/1o1icz2,"['Casa à venda em Vila Formosa com 130 m²', ' 3 quartos', ' 1 suíte', ' 2 vagasRua Herculano Duarte', ' Vila Formosa', ' São Paulo-SP']",VilaFormosa,R$ 690.000,"['1 andar-', '130 m²R$ 5.307 /m²', '3 quartos1 suíte', '2 Banheiros', 'Não - Mobiliado']"
02/05/2023,https://loft.com.br/imovel/apartamento-rua-marcos-fernandes-cursino-sao-paulo-4-quartos-300m2/ecl6za,"['Apartamento à venda em Cursino com 300 m²', ' 4 quartos', ' 4 suítes', ' 4 vagasCondomínio Edificio La Residence', ' Rua Marcos Fernandes', ' Cursino', ' São Paulo-SP']",Cursino,R$ 2.300.000,"['Andar baixoAté 3º andar', '300 m²R$ 7.666 /m²', '4 quartos4 suítes', '4 vagas', '6 Banheiros', 'Varanda', 'Portaria24h', 'Não - Mobiliado']"
