Refdate,Link_Apto,Endereco,Bairro,Valor,Informacoes
17/04/2023,https://loft.com.br/imovel/apartamento-rua-caure-tucuruvi-sao-paulo-2-quartos-50m2/100tsld,"['Apartamento à venda em Tucuruvi com 50 m²', ' 2 quartos', ' 1 vagaCondomínio Vila Verde', ' Rua Cauré', ' Tucuruvi', ' São Paulo-SP']",Tucuruvi,R$ 325.000,"['Andar baixoAté 3º andar', '50 m²R$ 6.500 /m²', '2 quartossem suíte', '1 vaga', '1 Banheiro', 'Portaria24h', 'Não - Mobiliado']"
17/04/2023,https://loft.com.br/imovel/apartamento-rua-do-bosque-bom-retiro-sao-paulo-2-quartos-72m2/1014uwp,"['Apartamento à venda em Bom Retiro com 72 m²', ' 2 quartosCondomínio Edificio Palhinha', ' Rua do Bosque', ' Bom Retiro', ' São Paulo-SP']",BomRetiro,R$ 479.000,"['Andar alto4º andar em diante', '72 m²R$ 6.652 /m²', '2 quartossem suíte', '1 Banheiro', 'Metrô próximoestação a 885m', 'Não - Vagas', 'Não - Mobiliado']"
17/04/2023,https://loft.com.br/imovel/apartamento-rua-jose-maria-lisboa-jardim-america-sao-paulo-3-quartos-137m2/101r6vc,"['Apartamento à venda em Jardim América com 137 m²', ' 3 quartos', ' 1 suíteCondomínio Anambé', ' Rua José Maria Lisboa', ' Jardim América', ' São Paulo-SP']",JardimAmérica,R$ 1.450.000,"['Andar alto4º andar em diante', '137 m²R$ 10.583 /m²', '3 quartos1 suíte', '3 Banheiros', 'Metrô próximoestação a 702m', 'Não - Vagas', 'Não - Mobiliado']"
17/04/2023,https://loft.com.br/imovel/apartamento-avenida-doutor-cardoso-de-melo-vila-olimpia-sao-paulo-1-quarto-72m2/1024379,"['Apartamento à venda em Vila Olímpia com 72 m²', ' 1 quarto', ' 1 suíte', ' 2 vagasCondomínio Maxhaus Vila Olimpia', ' Avenida Doutor Cardoso de Melo', ' Vila Olímpia', ' São Paulo-SP']",VilaOlímpia,R$ 1.400.000,"['Andar alto4º andar em diante', '72 m²R$ 19.444 /m²', '1 quarto1 suíte', '2 vagas', '2 Banheiros', 'Varanda', 'Não - Mobiliado']"
17/04/2023,https://loft.com.br/imovel/apartamento-rua-nunes-garcia-santana-sao-paulo-4-quartos-200m2/102ww3k,"['Apartamento à venda em Santana com 200 m²', ' 4 quartos', ' 1 suíte', ' 3 vagasCondomínio Conjunto Santana Edificio Solar De Coimbra', ' Rua Nunes Garcia', ' Santana', ' São Paulo-SP']",Santana,R$ 850.000,"['Andar alto4º andar em diante', '200 m²R$ 4.250 /m²', '4 quartos1 suíte', '3 vagas', '4 Banheiros', 'Metrô próximoestação a 519m', 'Não - Mobiliado']"
17/04/2023,https://loft.com.br/imovel/apartamento-avenida-marques-de-sao-vicente-barra-funda-sao-paulo-1-quarto-33m2/104iylr,"['Apartamento à venda em Barra Funda com 33 m²', ' 1 quartoCondomínio Barra Vista', ' Avenida Marquês de São Vicente', ' Barra Funda', ' São Paulo-SP']",BarraFunda,R$ 358.000,"['Andar alto4º andar em diante', '33 m²R$ 10.848 /m²', '1 quartosem suíte', '1 Banheiro', 'Portaria24h', 'Não - Vagas', 'Não - Mobiliado']"
17/04/2023,https://loft.com.br/imovel/apartamento-rua-bartolomeu-feio-brooklin-sao-paulo-2-quartos-67m2/107ffnq,"['Apartamento à venda em Brooklin com 67 m²', ' 2 quartos', ' 1 suíte', ' 1 vagaCondomínio Conjunto Residencial Super Star', ' Rua Bartolomeu Feio', ' Brooklin', ' São Paulo-SP']",Brooklin,R$ 675.000,"['Andar alto4º andar em diante', '67 m²R$ 10.074 /m²', '2 quartos1 suíte', '1 vaga', '3 Banheiros', 'Metrô próximoestação a 190m', 'Não - Mobiliado']"
17/04/2023,https://loft.com.br/imovel/apartamento-alameda-barros-santa-cecilia-sao-paulo-3-quartos-130m2/107ge7d,"['Apartamento à venda em Santa Cecília com 130 m²', ' 3 quartos', ' 1 suíte', ' 1 vagaCondomínio CONJUNTO ANGÉLICA', ' Alameda Barros', ' Santa Cecília', ' São Paulo-SP']",SantaCecília,R$ 1.100.000,"['130 m²R$ 8.461 /m²', '3 quartos1 suíte', '1 vaga', '1 Banheiro', 'Metrô próximoestação a 410m', 'Não - Mobiliado']"
17/04/2023,https://loft.com.br/imovel/apartamento-rua-barao-do-serro-largo-agua-rasa-sao-paulo-4-quartos-295m2/10830w4,"['Apartamento à venda em Água Rasa com 295 m²', ' 4 quartos', ' 3 suítes', ' 3 vagasCondomínio Itapua', ' Rua Barão do Serro Largo', ' Água Rasa', ' São Paulo-SP']",ÁguaRasa,R$ 1.300.000,"['Andar alto4º andar em diante', '295 m²R$ 4.406 /m²', '4 quartos3 suítes', '3 vagas', '3 Banheiros', 'Portaria24h', 'Não - Mobiliado']"
17/04/2023,https://loft.com.br/imovel/apartamento-rua-eugenio-de-freitas-vila-guilherme-sao-paulo-3-quartos-63m2/108eu8k,"['Apartamento à venda em Vila Guilherme com 63 m²', ' 3 quartos', ' 1 suíte', ' 1 vagaCondomínio Edifício Mosaico Vila Guilherme', ' Rua Eugênio de Freitas', ' Vila Guilherme', ' São Paulo-SP']",VilaGuilherme,R$ 460.000,"['Andar alto4º andar em diante', '63 m²R$ 7.301 /m²', '3 quartos1 suíte', '1 vaga', '2 Banheiros', 'Portaria24h', 'Não - Mobiliado']"
