Refdate,Link_Apto,Endereco,Bairro,Valor,Informacoes
17/05/2023,https://loft.com.br/imovel/casa-rua-sao-felix-de-cantalicio-aricanduva-sao-paulo-3-quartos-382m2/kj3fsq,"['Casa à venda em Aricanduva com 382 m²', ' 3 quartos', ' 3 suítes', ' 8 vagasRua São Félix de Cantalício', ' Aricanduva', ' São Paulo-SP']",Aricanduva,R$ 1.900.000,"['1 andar-', '382 m²R$ 4.973 /m²', '3 quartos3 suítes', '5 Banheiros', 'Não - Mobiliado']"
17/05/2023,https://loft.com.br/imovel/apartamento-rua-silva-teles-pari-sao-paulo-3-quartos-69m2/1dasle7,"['Apartamento à venda em Pari com 69 m²', ' 3 quartos', ' 1 suíte', ' 2 vagasCondomínio Living Elegance', ' Rua Silva Teles', ' Pari', ' São Paulo-SP']",Pari,R$ 827.999,"['Apartamento7º andar ou acima', '69 m²R$ 11.999 /m²', '3 quartos1 suíte', '2 vagas', '2 Banheiros', 'Varanda', 'Não - Mobiliado']"
17/05/2023,https://loft.com.br/imovel/apartamento-rua-do-estilo-barroco-santo-amaro-sao-paulo-4-quartos-284m2/oofj5l,"['Apartamento à venda em Santo Amaro com 284 m²', ' 4 quartos', ' 2 suítes', ' 4 vagasCondomínio Edificio Montmartre', ' Rua do Estilo Barroco', ' Santo Amaro', ' São Paulo-SP']",SantoAmaro,R$ 2.200.000,"['284 m²R$ 7.746 /m²', '4 quartos2 suítes', '4 vagas', '5 Banheiros', 'Metrô próximoestação a 191m', 'Não - Mobiliado']"
17/05/2023,https://loft.com.br/imovel/apartamento-rua-davi-banderali-artur-alvim-sao-paulo-2-quartos-48m2/1hktuao,"['Apartamento à venda em Artur Alvim com 48 m²', ' 2 quartos', ' 1 suíte', ' 1 vagaCondomínio Benevento Iv', ' Rua Davi Banderali', ' Artur Alvim', ' São Paulo-SP']",ArturAlvim,R$ 243.800,"['Apartamento3º andar ou abaixo', '48 m²R$ 5.079 /m²', '2 quartos1 suíte', '1 vaga', '1 Banheiro', 'Sol da manhãna sala', 'Não - Mobiliado']"
17/05/2023,https://loft.com.br/imovel/apartamento-praca-julio-prestes-campos-elisios-sao-paulo-2-quartos-86m2/lxlwa,"['Apartamento à venda em Campos Elísios com 86 m²', ' 2 quartosCondomínio Edificio Miri', ' Praça Júlio Prestes', ' Campos Elísios', ' São Paulo-SP']",CamposElísios,R$ 360.000,"['ApartamentoEntre 4º a 6º andar', '86 m²R$ 4.186 /m²', '2 quartossem suíte', '2 Banheiros', 'Portaria24h', 'Metrô próximoestação a 716m', 'Não - Vagas', 'Não - Mobiliado']"
17/05/2023,https://loft.com.br/imovel/apartamento-rua-bento-freitas-republica-sao-paulo-1-quarto-36m2/1wcyj4j,"['Apartamento à venda em República com 36 m²', ' 1 quartoCondomínio Vibe Republica', ' Rua Bento Freitas', ' República', ' São Paulo-SP']",República,R$ 450.000,"['36 m²R$ 12.500 /m²', '1 quartosem suíte', '1 Banheiro', 'Metrô próximoestação a 223m', 'Não - Vagas', 'Não - Mobiliado']"
17/05/2023,https://loft.com.br/imovel/apartamento-rua-oscar-freire-pinheiros-sao-paulo-1-quarto-18m2/bhazdt,"['Apartamento à venda em Pinheiros com 18 m²', ' 1 quarto', ' 1 vagaCondomínio VN Oscar Freire', ' Rua Oscar Freire', ' Pinheiros', ' São Paulo-SP']",Pinheiros,R$ 530.000,"['Apartamento7º andar ou acima', '18 m²R$ 29.444 /m²', '1 quartosem suíte', '1 vaga', '1 Banheiro', 'Metrô próximoestação a 74m', 'Não - Mobiliado']"
17/05/2023,https://loft.com.br/imovel/apartamento-rua-marcos-fernandes-cursino-sao-paulo-4-quartos-300m2/ecl6za,"['Apartamento à venda em Cursino com 300 m²', ' 4 quartos', ' 4 suítes', ' 4 vagasCondomínio Edificio La Residence', ' Rua Marcos Fernandes', ' Cursino', ' São Paulo-SP']",Cursino,R$ 2.300.000,"['Apartamento3º andar ou abaixo', '300 m²R$ 7.666 /m²', '4 quartos4 suítes', '4 vagas', '6 Banheiros', 'Varanda', 'Portaria24h', 'Não - Mobiliado']"
17/05/2023,https://loft.com.br/imovel/apartamento-avenida-raimundo-pereira-de-magalhaes-jaragua-sao-paulo-2-quartos-42m2/jvbnls,"['Apartamento à venda em Jaraguá com 42 m²', ' 2 quartosCondomínio Vila Austria', ' Avenida Raimundo Pereira de Magalhães', ' Jaraguá', ' São Paulo-SP']",Jaraguá,R$ 230.000,"['Apartamento3º andar ou abaixo', '42 m²R$ 5.476 /m²', '2 quartossem suíte', '1 Banheiro', 'Portaria24h', 'Não - Vagas', 'Não - Mobiliado']"
17/05/2023,https://loft.com.br/imovel/apartamento-rua-tucuna-perdizes-sao-paulo-3-quartos-147m2/ss84g0,"['Apartamento à venda em Perdizes com 147 m²', ' 3 quartos', ' 1 suíte', ' 2 vagasCondomínio Edificio Solar Dos Buzios', ' Rua Tucuna', ' Perdizes', ' São Paulo-SP']",Perdizes,R$ 1.190.000,"['ApartamentoEntre 4º a 6º andar', '147 m²R$ 8.095 /m²', '3 quartos1 suíte', '2 vagas', '4 Banheiros', 'Sol da manhãna sala', '2 Varandas', 'Não - Mobiliado']"
