Refdate,Link_Apto,Endereco,Bairro,Valor,Informacoes
28/08/2023,https://loft.com.br/imovel/apartamento-soror-angelica-casa-verde-sao-paulo-4-quartos-360m2/i8lrfs,"['Apartamento à venda em Casa Verde com 360 m²', ' 4 quartos', ' 4 suítes', ' 4 vagasCondomínio Esplanada de São Bento', ' Rua Soror Angélica', ' Casa Verde', ' São Paulo-SP']",CasaVerde,R$ 3.000.000,"['Apartamento7º andar ou acima', '360 m²R$ 8.333 /m²', '4 quartos4 suítes', '4 vagas', '6 Banheiros', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/apartamento-santa-luzia-se-sao-paulo-1-quarto-41m2/hwdwod,"['Apartamento à venda em Sé com 41 m²', ' 1 quartoCondomínio Edificio Ada', ' Rua Santa Luzia', ' Sé', ' São Paulo-SP']",Sé,R$ 300.000,"['Apartamento3º andar ou abaixo', '41 m²R$ 7.317 /m²', '1 quartosem suíte', '1 Banheiro', 'Portariaparcial', 'Metrô próximoestação a 349m', 'Vagas', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/apartamento-luiz-migliano-vila-sonia-sao-paulo-3-quartos-92m2/1w65q97,"['Apartamento à venda em Vila Sônia com 92 m²', ' 3 quartos', ' 1 suíte', ' 2 vagasCondomínio Misti Morumbi', ' Rua Doutor Luiz Migliano', ' Vila Sônia', ' São Paulo-SP']",VilaSônia,R$ 1.080.000,"['ApartamentoEntre 4º a 6º andar', '92 m²R$ 11.739 /m²', '3 quartos1 suíte', '2 vagas', '2 Banheiros', 'Varanda', 'Portaria24h', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/apartamento-carlos-de-campos-pari-sao-paulo-3-quartos-102m2/1opzbr8,"['Apartamento à venda em Pari com 102 m²', ' 3 quartosAvenida Carlos de Campos', ' 410', ' Apto. 4', ' Pari', ' São Paulo-SP']",Pari,R$ 410.000,"['Apartamento3º andar ou abaixo', '102 m²R$ 4.019 /m²', '3 quartossem suíte', '2 Banheiros', 'Sol o dia todona sala', 'Varanda', 'Vagas', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/apartamento-jurua-pari-sao-paulo-2-quartos-69m2/1jrbe6d,"['Apartamento à venda em Pari com 69 m²', ' 2 quartosRua Juruá', ' Pari', ' São Paulo-SP']",Pari,R$ 465.520,"['Apartamento3º andar ou abaixo', '69 m²R$ 6.746 /m²', '2 quartossem suíte', '1 Banheiro', 'Verão mais fresco', 'Vagas', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/apartamento-moreira-neto-guaianases-sao-paulo-2-quartos-52m2/1b5ud74,"['Apartamento à venda em Guaianases com 52 m²', ' 2 quartos', ' 1 vagaCondomínio Praca Do Sol Guaianazes', ' Rua Moreira Neto', ' Guaianases', ' São Paulo-SP']",Guaianases,R$ 230.000,"['Apartamento3º andar ou abaixo', '52 m²R$ 4.423 /m²', '2 quartossem suíte', '1 vaga', '1 Banheiro', 'Varanda', 'Portaria24h', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/apartamento-garopa-vila-curuca-sao-paulo-2-quartos-47m2/131xv3g,"['Apartamento à venda em Vila Curuçá com 47 m²', ' 2 quartos', ' 1 vagaCondomínio Dez Curuça', ' Rua Garopá', ' Vila Curuçá', ' São Paulo-SP']",VilaCuruçá,R$ 260.000,"['Apartamento3º andar ou abaixo', '47 m²R$ 5.531 /m²', '2 quartossem suíte', '1 vaga', '1 Banheiro', 'Portaria24h', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/casa-rua-francisco-marinho-casa-verde-sao-paulo-4-quartos-230m2/8yxde7,"['Casa à venda em Casa Verde com 230 m²', ' 4 quartos', ' 1 suíte', ' 3 vagasRua Francisco Marinho', ' Casa Verde', ' São Paulo-SP']",CasaVerde,R$ 899.000,"['1 andar-', '230 m²R$ 3.908 /m²', '4 quartos1 suíte', '3 Banheiros', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/casa-rua-professor-salomao-abdalla-sobrinho-mandaqui-sao-paulo-4-quartos-125m2/rkpalm,"['Casa à venda em Mandaqui com 125 m²', ' 4 quartos', ' 1 suíte', ' 2 vagasRua Professor Salomão Abdalla Sobrinho', ' Mandaqui', ' São Paulo-SP']",Mandaqui,R$ 535.000,"['1 andar-', '125 m²R$ 4.280 /m²', '4 quartos1 suíte', '3 Banheiros', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/apartamento-rua-dona-antonia-de-queiros-bela-vista-sao-paulo-1-quarto-60m2/1fmsaem,"['Apartamento à venda em Bela Vista com 60 m²', ' 1 quarto', ' 1 suíte', ' 2 vagasCondomínio Villa Antonia', ' Rua Dona Antônia de Queirós', ' Bela Vista', ' São Paulo-SP']",BelaVista,R$ 1.200.000,"['Apartamento7º andar ou acima', '60 m²R$ 20.000 /m²', '1 quarto1 suíte', '2 vagas', '2 Banheiros', 'Varanda', 'Portaria24h', 'Metrô próximoestação a 225m', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/casa-rua-do-tramway-tucuruvi-sao-paulo-3-quartos-190m2/192vn9e,"['Casa à venda em Tucuruvi com 190 m²', ' 3 quartos', ' 1 suíte', ' 3 vagasRua do Tramway', ' Tucuruvi', ' São Paulo-SP']",Tucuruvi,R$ 1.200.000,"['1 andar-', '190 m²R$ 6.315 /m²', '3 quartos1 suíte', '3 Banheiros', 'Metrô próximoestação a 590m', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/casa-rua-mira-estrela-tucuruvi-sao-paulo-3-quartos-146m2/1cae7cg,"['Casa à venda em Tucuruvi com 146 m²', ' 3 quartos', ' 3 suítes', ' 3 vagasRua Mira Estrela', ' Tucuruvi', ' São Paulo-SP']",Tucuruvi,R$ 950.000,"['1 andar-', '146 m²R$ 6.506 /m²', '3 quartos3 suítes', '5 Banheiros', 'Metrô próximoestação a 534m', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/casa-rua-marques-malheiro-jacana-sao-paulo-2-quartos-90m2/1d4l9m2,"['Casa à venda em Jaçanã com 90 m²', ' 2 quartos', ' 1 vagaRua Marques Malheiro', ' Jaçanã', ' São Paulo-SP']",Jaçanã,R$ 430.000,"['1 andar-', '90 m²R$ 4.777 /m²', '2 quartossem suíte', '1 Banheiro', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/casa-rua-maria-da-conceicao-fonseca-tremembe-sao-paulo-4-quartos-288m2/1wwegfe,"['Casa à venda em Tremembé com 288 m²', ' 4 quartos', ' 3 suítes', ' 3 vagasRua Maria da Conceição Fonseca', ' Tremembé', ' São Paulo-SP']",Tremembé,R$ 1.600.000,"['1 andar-', '288 m²R$ 5.555 /m²', '4 quartos3 suítes', '4 Banheiros', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/apartamento-avenida-ede-vila-medeiros-sao-paulo-1-quarto-31m2/1duex0g,"['Apartamento à venda em Vila Medeiros com 31 m²', ' 1 quartoAvenida Ede', ' Vila Medeiros', ' São Paulo-SP']",VilaMedeiros,R$ 199.900,"['Apartamento3º andar ou abaixo', '31 m²R$ 6.448 /m²', '1 quartosem suíte', '1 Banheiro', 'Vagas', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/casa-rua-ercole-roberti-mandaqui-sao-paulo-5-quartos-78m2/qf184w,"['Casa à venda em Mandaqui com 78 m²', ' 5 quartos', ' 2 vagasRua Ercole Roberti', ' Mandaqui', ' São Paulo-SP']",Mandaqui,R$ 550.000,"['1 andar-', '78 m²R$ 7.051 /m²', '5 quartossem suíte', '3 Banheiros', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/casa-rua-jose-debieux-santana-sao-paulo-2-quartos-92m2/18zg6j6,"['Casa à venda em Santana com 92 m²', ' 2 quartos', ' 3 vagasRua José Debieux', ' Santana', ' São Paulo-SP']",Santana,R$ 500.000,"['1 andar-', '92 m²R$ 5.434 /m²', '2 quartossem suíte', '2 Banheiros', 'Metrô próximoestação a 719m', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/casa-rua-benfica-vila-medeiros-sao-paulo-2-quartos-180m2/1uc4uw3,"['Casa à venda em Vila Medeiros com 180 m²', ' 2 quartos', ' 1 vagaRua Benfica', ' Vila Medeiros', ' São Paulo-SP']",VilaMedeiros,R$ 565.000,"['1 andar-', '180 m²R$ 3.138 /m²', '2 quartossem suíte', '3 Banheiros', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/apartamento-rua-oscar-freire-jardim-america-sao-paulo-2-quartos-95m2/1vibt64,"['Apartamento à venda em Jardim América com 95 m²', ' 2 quartos', ' 1 suíte', ' 1 vagaCondomínio Edificio Monterrey', ' Rua Oscar Freire', ' Jardim América', ' São Paulo-SP']",JardimAmérica,R$ 1.950.000,"['95 m²R$ 20.526 /m²', '2 quartos1 suíte', '1 vaga', '2 Banheiros', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/casa-avenida-cruzeiro-do-sul-santana-sao-paulo-3-quartos-96m2/1mxmjae,"['Casa à venda em Santana com 96 m²', ' 3 quartos', ' 1 suíteAvenida Cruzeiro do Sul', ' Santana', ' São Paulo-SP']",Santana,R$ 550.000,"['1 andar-', '96 m²R$ 5.729 /m²', '3 quartos1 suíte', '2 Banheiros', 'Metrô próximoestação a 372m', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/apartamento-rua-da-consolacao-jardim-america-sao-paulo-1-quarto-27m2/1qtfibd,"['Apartamento à venda em Jardim América com 27 m²', ' 1 quarto', ' 1 suíte', ' 1 vagaCondomínio Edificio Poeta Drummond', ' Rua da Consolação', ' Jardim América', ' São Paulo-SP']",JardimAmérica,R$ 480.000,"['Apartamento7º andar ou acima', '27 m²R$ 17.777 /m²', '1 quarto1 suíte', '1 vaga', '1 Banheiro', 'Metrô próximoestação a 508m', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/apartamento-rua-doutor-gabriel-dos-santos-santa-cecilia-sao-paulo-4-quartos-642m2/gno20h,"['Apartamento à venda em Santa Cecília com 642 m²', ' 4 quartos', ' 2 suítes', ' 6 vagasCondomínio Edificio Verona', ' Rua Doutor Gabriel dos Santos', ' Santa Cecília', ' São Paulo-SP']",SantaCecília,R$ 7.500.000,"['Apartamento7º andar ou acima', '642 m²R$ 11.682 /m²', '4 quartos2 suítes', '6 vagas', '7 Banheiros', 'Metrô próximoestação a 445m', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/apartamento-rua-amazonas-da-silva-vila-guilherme-sao-paulo-2-quartos-63m2/h2v0et,"['Apartamento à venda em Vila Guilherme com 63 m²', ' 2 quartos', ' 1 suíte', ' 1 vagaCondomínio Living Da Vila Guilherme', ' Rua Amazonas da Silva', ' Vila Guilherme', ' São Paulo-SP']",VilaGuilherme,R$ 636.000,"['Apartamento7º andar ou acima', '63 m²R$ 10.095 /m²', '2 quartos1 suíte', '1 vaga', '2 Banheiros', 'Portaria24h', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/casa-travessa-emanuel-borjon-tremembe-sao-paulo-4-quartos-100m2/agf9gc,"['Casa à venda em Tremembé com 100 m²', ' 4 quartos', ' 2 vagasTravessa Emanuel Borjon', ' Tremembé', ' São Paulo-SP']",Tremembé,R$ 265.000,"['1 andar-', '100 m²R$ 2.650 /m²', '4 quartossem suíte', '3 Banheiros', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/casa-rua-tenente-joao-claudino-de-melo-jacana-sao-paulo-4-quartos-151m2/vxoyox,"['Casa à venda em Jaçanã com 151 m²', ' 4 quartos', ' 2 vagasRua Tenente João Claudino de Melo', ' Jaçanã', ' São Paulo-SP']",Jaçanã,R$ 375.000,"['1 andar-', '151 m²R$ 2.483 /m²', '4 quartossem suíte', '3 Banheiros', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/casa-rua-sousa-lopes-mandaqui-sao-paulo-4-quartos-202m2/1pr8frq,"['Casa à venda em Mandaqui com 202 m²', ' 4 quartos', ' 1 suíte', ' 3 vagasRua Sousa Lopes', ' Mandaqui', ' São Paulo-SP']",Mandaqui,R$ 920.000,"['1 andar-', '202 m²R$ 4.554 /m²', '4 quartos1 suíte', '3 Banheiros', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/apartamento-rua-borges-ladario-tucuruvi-sao-paulo-1-quarto-27m2/ixojz3,"['Apartamento à venda em Tucuruvi com 27 m²', ' 1 quartoRua Borges Ladário', ' Tucuruvi', ' São Paulo-SP']",Tucuruvi,R$ 257.000,"['27 m²R$ 9.518 /m²', '1 quartosem suíte', '1 Banheiro', 'Metrô próximoestação a 555m', 'Vagas', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/casa-rua-professor-wolf-tucuruvi-sao-paulo-3-quartos-140m2/3zvgfm,"['Casa à venda em Tucuruvi com 140 m²', ' 3 quartos', ' 1 suíte', ' 2 vagasRua Professor Wolf', ' Tucuruvi', ' São Paulo-SP']",Tucuruvi,R$ 600.000,"['1 andar-', '140 m²R$ 4.285 /m²', '3 quartos1 suíte', '3 Banheiros', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/apartamento-avenida-conselheiro-rodrigues-alves-vila-mariana-sao-paulo-3-quartos-89m2/1796a33,"['Apartamento à venda em Vila Mariana com 89 m²', ' 3 quartos', ' 1 suíteCondomínio Edificio Lelia', ' Avenida Conselheiro Rodrigues Alves', ' Vila Mariana', ' São Paulo-SP']",VilaMariana,R$ 850.000,"['ApartamentoEntre 4º a 6º andar', '89 m²R$ 9.550 /m²', '3 quartos1 suíte', '2 Banheiros', 'Portaria24h', 'Metrô próximoestação a 568m', 'Vagas', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/casa-rua-clarinda-maria-de-oliveira-vila-medeiros-sao-paulo-2-quartos-89m2/hry343,"['Casa à venda em Vila Medeiros com 89 m²', ' 2 quartos', ' 1 vagaRua Clarinda Maria de Oliveira', ' Vila Medeiros', ' São Paulo-SP']",VilaMedeiros,R$ 532.000,"['1 andar-', '89 m²R$ 5.977 /m²', '2 quartossem suíte', '2 Banheiros', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/casa-rua-aragao-tucuruvi-sao-paulo-3-quartos-181m2/ikstll,"['Casa à venda em Tucuruvi com 181 m²', ' 3 quartos', ' 1 suíte', ' 2 vagasRua Aragão', ' Tucuruvi', ' São Paulo-SP']",Tucuruvi,R$ 1.200.000,"['1 andar-', '181 m²R$ 6.629 /m²', '3 quartos1 suíte', '4 Banheiros', 'Metrô próximoestação a 629m', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/apartamento-rua-pedra-sabao-tucuruvi-sao-paulo-2-quartos-42m2/1ny0bdh,"['Apartamento à venda em Tucuruvi com 42 m²', ' 2 quartos', ' 1 vagaRua Pedra Sabão', ' Tucuruvi', ' São Paulo-SP']",Tucuruvi,R$ 361.764,"['Apartamento7º andar ou acima', '42 m²R$ 8.613 /m²', '2 quartossem suíte', '1 vaga', '1 Banheiro', 'Varanda', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/casa-rua-altinopolis-jardim-sao-paulo-sao-paulo-3-quartos-202m2/1ookmri,"['Casa à venda em Jardim São Paulo com 202 m²', ' 3 quartos', ' 1 suíte', ' 2 vagasRua Altinópolis', ' Jardim São Paulo', ' São Paulo-SP']",JardimSãoPaulo,R$ 780.000,"['1 andar-', '202 m²R$ 3.861 /m²', '3 quartos1 suíte', '4 Banheiros', 'Mobiliado']"
